lakeid,year4,sampledate,avsnow,totice,whiteice,blueice
TB,1984,1984-01-03,8.1,35.3,13.2,22.1
TB,1983,1983-01-10,27.9,17.0,8.0,9.0
TB,1986,1986-01-10,19.2,25.0,10.0,15.0
TB,2012,2012-01-10,4.4,25.0,16.0,9.0
TB,1995,1995-01-12,6.3,31.0,3.5,27.5
TB,2006,2006-01-12,8.6,26.0,21.0,5.0
TB,1988,1988-01-14,15.6,23.0,15.0,8.0
TB,1993,1993-01-14,16.5,29.5,17.0,12.5
TB,2010,2010-01-14,12.0,24.0,18.0,6.0
TB,2019,2019-01-14,8.9,26.0,16.0,10.0
TB,1985,1985-01-15,14.8,26.0,6.0,20.0
TB,1987,1987-01-15,15.4,23.0,20.0,3.0
TB,1990,1990-01-15,9.5,27.5,7.5,20.0
TB,1992,1992-01-15,14.9,26.0,14.0,12.0
TB,1991,1991-01-16,22.0,24.0,0.0,24.0
TB,1989,1989-01-17,21.4,31.0,13.5,17.5
TB,1994,1994-01-17,13.1,20.0,6.0,14.0
TB,1996,1996-01-17,24.8,28.0,5.0,23.0
TB,2002,2002-01-17,11.0,17.0,0.0,17.0
TB,1998,1998-01-19,24.4,21.0,6.0,15.0
TB,2018,2018-01-19,18.4,35.0,13.0,22.0
TB,2005,2005-01-20,25.0,31.0,15.0,16.0
TB,2015,2015-01-20,19.1,30.0,25.0,5.0
TB,2017,2017-01-20,16.3,26.0,13.0,13.0
TB,1997,1997-01-21,18.3,44.0,29.0,15.0
TB,2004,2004-01-21,22.0,32.0,11.0,21.0
TB,1999,1999-01-22,21.1,30.0,9.0,21.0
TB,2009,2009-01-22,26.2,32.0,18.0,14.0
TB,2007,2007-01-23,10.6,28.0,12.0,16.0
TB,2001,2001-01-24,13.5,23.0,9.0,14.0
TB,2011,2011-01-24,18.3,34.0,18.0,16.0
TB,2014,2014-01-24,32.1,30.0,10.0,20.0
TB,2016,2016-01-25,8.6,24.0,19.0,5.0
TB,1982,1982-01-27,25.8,32.5,12.1,20.4
TB,2000,2000-01-27,16.1,27.0,12.0,15.0
TB,2008,2008-01-28,14.7,34.0,19.0,15.0
TB,2013,2013-01-28,28.0,25.0,2.0,23.0
TB,2003,2003-02-04,29.8,41.0,5.0,36.0
TB,1995,1995-02-14,16.0,36.5,5.0,31.5
TB,2005,2005-02-15,12.2,42.0,25.0,17.0
TB,2011,2011-02-15,19.9,36.0,18.0,18.0
TB,2009,2009-02-17,6.2,48.0,23.0,25.0
TB,2017,2017-02-17,13.4,34.0,19.0,15.0
TB,1997,1997-02-18,16.2,55.0,39.0,16.0
TB,1998,1998-02-18,2.5,39.0,22.0,17.0
TB,2013,2013-02-18,10.4,41.0,20.0,21.0
TB,2001,2001-02-19,22.1,38.0,27.0,11.0
TB,2004,2004-02-19,16.6,50.0,28.0,22.0
TB,1991,1991-02-20,12.5,39.0,11.0,28.0
TB,2003,2003-02-20,20.6,42.0,5.0,37.0
TB,2012,2012-02-20,9.8,35.0,25.0,10.0
TB,2014,2014-02-20,32.0,46.0,32.0,14.0
TB,1996,1996-02-21,15.3,50.0,7.0,43.0
TB,2000,2000-02-21,28.4,21.0,14.0,7.0
TB,2007,2007-02-21,13.3,36.0,13.0,23.0
TB,1983,1983-02-22,0.5,31.0,15.0,16.0
TB,2006,2006-02-22,15.1,38.0,38.0,0.0
TB,2010,2010-02-22,18.8,33.0,17.0,16.0
TB,2019,2019-02-22,22.7,54.0,39.0,15.0
TB,1987,1987-02-23,10.1,37.0,14.0,23.0
TB,2018,2018-02-23,29.3,45.0,24.0,21.0
TB,1993,1993-02-24,10.2,49.0,32.0,17.0
TB,1994,1994-02-24,2.7,46.0,26.0,20.0
TB,1999,1999-02-24,16.4,44.0,44.0,0.0
TB,2016,2016-02-24,6.5,33.0,25.0,8.0
TB,1986,1986-02-25,26.0,40.0,34.0,6.0
TB,2008,2008-02-25,22.2,42.0,23.0,19.0
TB,1992,1992-02-26,31.0,40.0,28.0,12.0
TB,1985,1985-02-27,5.4,31.0,7.0,24.0
TB,1984,1984-02-28,2.3,46.0,22.0,24.0
TB,1990,1990-02-28,22.2,50.0,30.0,20.0
TB,1988,1988-03-01,9.4,44.0,33.0,11.0
TB,1982,1982-03-03,9.1,39.3,32.7,6.6
TB,1989,1989-03-06,33.8,46.2,24.0,22.2
TB,2002,2002-03-06,7.8,38.0,18.0,20.0
TB,2015,2015-03-06,31.1,32.0,27.0,5.0
TB,1998,1998-03-16,6.5,34.0,21.0,13.0
TB,2011,2011-03-16,11.3,48.0,23.0,25.0
TB,1987,1987-03-20,0.0,35.0,17.0,18.0
TB,1995,1995-03-20,2.8,36.0,31.0,5.0
TB,1991,1991-03-21,0.0,47.0,15.0,32.0
TB,1993,1993-03-23,8.5,50.5,31.5,19.0
TB,1999,1999-03-23,4.2,43.0,33.0,10.0
TB,1983,1983-03-24,10.1,30.0,8.0,22.0
TB,1988,1988-03-23,4.9,51.0,18.0,33.0
TB,1992,1992-03-23,5.2,44.0,3.0,41.0
TB,1997,1997-03-24,24.4,57.0,57.0,0.0
TB,2015,2015-03-24,0.0,25.0,20.0,5.0
TB,1985,1985-03-25,2.5,47.0,18.0,29.0
TB,2009,2009-03-25,0.0,42.0,24.0,18.0
TB,2019,2019-03-25,0.0,68.0,53.0,15.0
TB,1989,1989-03-27,,58.5,36.5,22.0
TB,1990,1990-03-27,0.0,41.0,24.5,16.5
TB,2007,2007-03-27,0.0,25.0,2.0,23.0
TB,2013,2013-03-27,7.6,60.0,36.0,24.0
TB,1994,1994-03-28,11.0,36.0,17.0,19.0
TB,2008,2008-03-27,12.3,53.0,35.0,18.0
TB,2014,2014-03-28,21.1,60.0,42.0,18.0
TB,2018,2018-03-28,2.9,54.0,39.0,15.0
TB,2006,2006-03-29,0.5,47.0,47.0,0.0
TB,2017,2017-03-29,0.0,36.0,22.0,14.0
TB,2004,2004-03-29,3.9,54.0,28.0,26.0
TB,1986,1986-03-31,0.8,28.0,22.0,6.0
TB,2005,2005-03-31,1.3,44.0,20.0,24.0
TB,2003,2003-04-02,1.6,40.0,2.0,38.0
TB,1996,1996-04-02,29.3,57.0,26.0,31.0
TB,2001,2001-04-03,3.9,47.0,39.0,8.0
TB,1984,1984-04-04,0.0,46.0,14.0,32.0
TB,1982,1982-04-06,8.2,52.0,41.0,11.0
TB,1985,1985-04-10,0.0,48.0,24.0,
TB,2002,2002-04-12,0.0,51.0,27.0,24.0
TB,1995,1995-11-09,,2.5,0.0,2.5
TB,1983,1983-11-14,,2.0,,
TB,1982,1982-11-30,0.5,11.0,0.0,11.0
